Ground Truth
(-0.00014071032642439327, 1.397902249011776e-05, 1.4214290193059664)
(-0.00015129238493196868, 8.790368330594126e-06, 1.4214348383369806)
(-0.00015023978635652849, 1.3012510047941521e-05, 1.4213920539723865)
(-0.000136387503094907, 1.5756749611355074e-05, 1.4214054242618968)
(-0.00015269987934209194, 2.8348705254118492e-05, 1.421407782772258)
(-0.00015499724880246665, 6.665659192921464e-06, 1.4214368857310624)
(-0.00014950090798129988, 2.0906059348895016e-05, 1.4214382970538393)
(-0.0001507893447076459, 2.7278185567096644e-05, 1.4214258708082759)
(-0.00011999484188379352, 3.8335996427785e-05, 1.4214274486119955)
(-9.221977437566829e-05, 1.2241694068115513e-05, 1.4214224089973315)
(-7.078959838753408e-05, 3.8475193469903564e-05, 1.421413130101768)
(-4.6177306515893445e-05, 7.015721988734106e-06, 1.4214013387469087)
(-8.444373809825471e-05, 1.1824121114948332e-05, 1.421409360187714)
(-9.856185887842379e-05, 4.802025820956928e-06, 1.4213928414505543)
(-0.0001359759770540719, 2.329759886949991e-06, 1.4213865588129713)
(-0.00013157119795807306, 2.1810480527848655e-05, 1.4213703492843812)
(-0.00014858605056668433, 2.229290873735466e-05, 1.4213527412509743)
(-0.0001245139367626117, 2.387106047030343e-05, 1.4213593359328793)
(-0.0001110224300360715, 4.2226387322375336e-05, 1.4213552407993884)
(-0.00011548786718621028, 3.725631512517238e-05, 1.4213409361015288)
(-0.00011358372294137148, 4.2530208068187037e-05, 1.4213502130649005)
(-0.00010902768070781364, 5.7583765248079335e-05, 1.4213712925588415)
(-0.00011334776617479562, 5.265385315179597e-05, 1.421395354115321)
(-0.00010181578956530963, 4.326687337571592e-05, 1.4214080911498341)
(-8.971510186899768e-05, 4.9533419948702394e-05, 1.4213763317554349)
(-7.240394061090827e-05, 3.720647168892623e-05, 1.4213679883600798)
(-0.00010314978754557523, -6.118284990028176e-07, 1.4213723958929922)
(-0.0001045529367863361, -9.650267892958717e-06, 1.4213738091002226)
(-0.00011203564020461341, -4.312762744019127e-06, 1.4213917413266315)
(-0.00011142296239801078, -1.3133116546510015e-05, 1.421386713917426)
(-9.321351711131115e-05, -2.2172345801638863e-05, 1.4214074709232902)
(-8.541640695434732e-05, -3.1604119518480735e-05, 1.421416748558175)
(-8.779974670773433e-05, -1.1097788547693731e-05, 1.4214030648054152)
(-9.015840648876298e-05, 1.3960695803274418e-05, 1.4214032194866164)
(-0.00010407531376603947, -3.3136162195519225e-05, 1.421409674916649)
(-0.00012698574068787885, -7.229552335152196e-05, 1.4214285581798314)
(-0.0001291025493646077, -7.68027252351072e-05, 1.4214373694439786)
(-0.0001583622754600553, -8.004405231583429e-05, 1.4214129883034243)
(-0.00015530854520391386, -7.210445752483602e-05, 1.4214211632734315)
(-0.00017198139081625404, -4.8248568916715085e-05, 1.4214260347746093)
(-0.0001771646715853424, -6.481208505217279e-05, 1.4214202308984525)
(-0.00015541993411704057, -4.964189154396754e-05, 1.4214137745798852)
(-0.00014079365659893547, -5.084248900782921e-05, 1.4214038498820412)
(-0.00015680764275822703, -3.540467648193671e-05, 1.421428401797033)
(-0.00014466513686250696, -1.1916346606173286e-05, 1.4214655094942596)
(-0.00013053231468670504, -2.6492577409279203e-05, 1.4214714833037918)
(-0.00013084873938442104, -2.1497574724241865e-05, 1.4214680232264474)
